Jurisdiction,State,Year,Election Date,Office,Winner,Special Election?,Incumbent Status of Winner,Number of candidates,Number of rounds,Total ballots cast,First round active votes,Final round active votes,First round vote for winner,First round percent for winner,First round place for winner,Final round votes for winner,Final round percent for winner,Winner's consensus value,Winner's Final Round Votes as Percent of First Round Valid Votes,Fully ranked ballots,Ballots with 2+ Rankings,Ballots Ranking the Winner,First Round Undervote,First Round Overvotes,Total Ballots with Overvotes,Inactive by Overvote,Inactive by Skipped Rankings,Inactive by Abstention,Inactive by ranking limit,Total Inactive,Includes duplicate rankings,Includes skipped rankings,Turnout Percent (percent of registered),Registered Voters in Jurisdiction,Condorcet winner?,Come FroMBehind Winner?,Number of Rankings Permitted,Ballot Style,Ballot Marking Style,Voting Equipment Used,Link to full results,CVR Available?,Notes,RaceID
St. Paul,MN,2011,11/8/2011,City Council Ward 6,Dan Bostrom,N,Incumbent,2,1,3378,3378,3378,1962,58%,1,1962,58.1%,Unknown,58.1%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,18.45%,"18,306",Y,N,6,Columns,Oval,Hart Verity,Link,N,,StPaul_1108_2011_CityCouncilWard6
St. Paul,MN,2011,11/8/2011,City Council Ward 7,Kathy Lantry,N,Incumbent,1,1,383,383,383,310,81%,1,310,80.9%,100.0%,80.9%,Unknown,Unknown,,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,1.98%,"19,357",Y,N,6,Columns,Oval,Hart Verity,Link,N,,StPaul_1108_2011_CityCouncilWard7
Takoma Park,MD,2011,11/8/2011,City Council Ward 1,Seth Grimes,N,OpenSeat,1,1,270,256,256,247,96%,1,247,96.5%,100.0%,96.5%,Unknown,Unknown,,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,11.65%,"2,317",Y,N,Unknown,Unknown,Unknown,Scantegrity II,,N,,TakomaPark_11082011_CityCouncilWard1
Takoma Park,MD,2011,11/8/2011,City Council Ward 2,TiMMale,N,OpenSeat,2,1,690,686,686,351,51%,1,351,51.2%,Unknown,51.2%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,31.56%,"2,186",Y,N,Unknown,Unknown,Unknown,Scantegrity II,,N,,TakomaPark_11082011_CityCouncilWard2
Takoma Park,MD,2011,11/8/2011,City Council Ward 3,Kay Daniels-Cohen,N,OpenSeat,3,1,459,450,450,290,64%,1,290,64.4%,Unknown,64.4%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,20.48%,"2,241",Y,N,Unknown,Unknown,Unknown,Scantegrity II,,N,,TakomaPark_11082011_CityCouncilWard3
Takoma Park,MD,2011,11/8/2011,City Council Ward 4,Terry J. Seamens,N,Incumbent,1,1,211,201,201,195,97%,1,195,97.0%,100.0%,97.0%,Unknown,Unknown,,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,15.73%,"1,341",Y,N,Unknown,Unknown,Unknown,Scantegrity II,,N,,TakomaPark_11082011_CityCouncilWard4
Takoma Park,MD,2011,11/8/2011,City Council Ward 5,Reuben Snipper,N,Incumbent,1,1,78,76,76,75,99%,1,75,98.7%,100.0%,98.7%,Unknown,Unknown,,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,6.16%,"1,266",Y,N,Unknown,Unknown,Unknown,Scantegrity II,,N,,TakomaPark_11082011_CityCouncilWard5
Takoma Park,MD,2011,11/8/2011,City Council Ward 6,Fred Schultz,N,Incumbent,2,1,249,245,245,134,55%,1,134,54.7%,Unknown,54.7%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,17.57%,"1,417",Y,N,Unknown,Unknown,Unknown,Scantegrity II,,N,,TakomaPark_11082011_CityCouncilWard6
Takoma Park,MD,2011,11/8/2011,Mayor,Bruce R. Williams,N,Incumbent,1,1,1868,1755,1755,1663,95%,1,1663,94.8%,100.0%,94.8%,Unknown,Unknown,,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,17.35%,"10,768",Y,N,Unknown,Unknown,Unknown,Scantegrity II,,N,,TakomaPark_11082011_Mayor
Telluride,CO,2011,11/8/2011,Mayor,Stu Fraser,N,Incumbent,3,1,739,739,739,446,60%,1,446,60.4%,Unknown,60.4%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,,Unknown,Y,N,20,Grid,Oval,Hand count,,N,,Telluride_11082011_Mayor
