Jurisdiction,State,Year,Election Date,Office,Winner,Special Election?,Incumbent Status of Winner,Number of candidates,Number of rounds,Total ballots cast,First round active votes,Final round active votes,First round vote for winner,First round percent for winner,First round place for winner,Final round votes for winner,Final round percent for winner,Winner's consensus value,Winner's Final Round Votes as Percent of First Round Valid Votes,Fully ranked ballots,Ballots with 2+ Rankings,Ballots Ranking the Winner,First Round Undervote,First Round Overvotes,Total Ballots with Overvotes,Inactive by Overvote,Inactive by Skipped Rankings,Inactive by Abstention,Inactive by ranking limit,Total Inactive,Includes duplicate rankings,Includes skipped rankings,Turnout Percent (percent of registered),Registered Voters in Jurisdiction,Condorcet winner?,Come FroMBehind Winner?,Number of Rankings Permitted,Ballot Style,Ballot Marking Style,Voting Equipment Used,Link to full results,CVR Available?,Notes,RaceID
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D33,Lincoln Restler,N,OpenSeat,8,3,29228,29228,28988,14444,49%,1,14582,50.3%,66.6%,49.9%,6781,18374,20701,,52,105,1,0,233,6,240,235,185,,"87,530",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember33rdCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D34,Jennifer Gutierrez,N,OpenSeat,4,1,16438,16438,16438,13065,79%,1,13065,79.5%,89.2%,79.5%,3839,7920,14845,,33,84,0,0,0,0,0,247,437,,"81,235",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember34thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D35,Crystal Hudson,N,OpenSeat,7,7,34915,34915,30702,13359,38%,1,16564,54.0%,66.6%,47.4%,8225,25519,24837,,79,219,39,0,3867,307,4213,443,394,,"98,645",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember35thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D36,Chi A. Osse,N,OpenSeat,5,5,23240,23240,19551,8520,37%,1,11149,57.0%,54.9%,48.0%,5495,15740,15185,,75,169,23,0,3666,0,3689,543,428,,"90,216",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember36thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D37,Sandy Nurse,N,Challenger,6,3,10874,10874,10756,5363,49%,1,5473,50.9%,65.7%,50.3%,3041,6554,7667,,41,108,4,0,114,0,118,273,233,,"65,230",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember37thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D38,Alexa Aviles,N,OpenSeat,6,5,12116,12116,11131,4806,40%,1,5766,51.8%,59.4%,47.6%,2589,7722,7748,,34,79,11,0,974,0,985,230,167,,"47,725",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember38thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D39,Shahana K. Hanif,N,OpenSeat,7,7,36095,36095,28038,11599,32%,1,15980,57.0%,56.9%,44.3%,9087,28524,22404,,60,132,15,0,7792,250,8057,239,204,,"82,436",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember39thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D40,Rita C. Joseph,N,OpenSeat,11,11,22343,22343,16894,5648,25%,1,10065,59.6%,50.7%,45.0%,7680,16634,12886,,124,231,32,0,4561,856,5449,345,383,,"77,432",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember40thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D42,Charles Barron,N,OpenSeat,4,4,15636,15636,14847,7431,48%,1,7979,53.7%,68.2%,51.0%,5372,9744,11815,,92,181,20,0,769,0,789,665,980,,"79,782",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember42ndCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D45,Farah N. Louis,N,Incumbent,3,1,19297,19297,19297,14544,75%,1,14544,75.4%,88.5%,75.4%,6689,9162,17101,,82,131,0,0,0,0,0,485,561,,"76,785",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember45thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D46,Mercedes Narcisse,N,OpenSeat,8,8,18480,18480,14034,6421,35%,1,8940,63.7%,55.9%,48.4%,5864,12445,11281,,70,157,30,0,4127,289,4446,465,323,,"74,864",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember46thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D47,Ari Kagan,N,Challenger,4,4,8029,8029,7212,3493,44%,1,4018,55.7%,65.4%,50.0%,2176,4502,5666,,39,71,7,0,810,0,817,179,311,,"44,548",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember47thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D48,Steven Saperstein,N,OpenSeat,5,5,9210,9210,7958,3033,33%,1,4542,57.1%,63.8%,49.3%,1743,6260,6402,,50,107,19,0,1233,0,1252,165,135,,"41,770",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember48thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D49,Kamillah Hanks,N,OpenSeat,9,9,13732,13732,10532,3463,25%,1,5996,56.9%,52.6%,43.7%,5475,10303,8322,,63,131,26,0,2741,433,3200,328,179,,"58,741",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember49thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D5,Julie Menin,N,OpenSeat,7,7,25436,25436,21568,8872,35%,1,12083,56.0%,56.0%,47.5%,6814,18134,15924,,47,121,20,0,3720,128,3868,189,142,,"69,105",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember5thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D6,Gale A. Brewer,N,OpenSeat,6,1,39399,39399,39399,21594,55%,1,21594,54.8%,74.0%,54.8%,7090,25321,30854,,55,138,0,0,0,0,0,275,228,,"89,616",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember6thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D7,Shaun Abreu,N,OpenSeat,12,11,23189,23189,18411,6214,27%,1,9215,50.1%,46.2%,39.7%,8368,17176,12300,,111,197,34,0,4302,442,4778,268,291,,"84,461",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember7thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D8,Diana I. Ayala,N,Incumbent,4,1,11722,11722,11722,6621,56%,1,6621,56.5%,76.8%,56.5%,4012,6898,9594,,55,130,0,0,0,0,0,398,621,,"79,138",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember8thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D9,Kristin Richardson Jordan,N,Challenger,13,13,25626,25626,17930,4873,19%,2,9017,50.3%,33.9%,35.2%,10758,19736,10627,,147,264,63,0,5540,2093,7696,393,359,,"94,985",Y,Y,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember9thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for Comptroller,Brad Lander,N,OpenSeat,10,10,866296,868087,656593,268064,31%,1,340944,51.9%,44.0%,39.3%,241251,586261,426359,,3193,6687,1471,0,182701,27322,211494,13835,14535,,"3,376,341",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMComptrollerCitywide
New York City,NY,2021,6/22/2021,NYC Democratic Primary for Kings Borough President,Antonio Reynoso,N,OpenSeat,12,12,288771,289477,196757,80867,28%,1,107963,54.9%,41.9%,37.3%,79843,194825,133110,,1015,2130,638,0,75383,16699,92720,4345,3768,,"1,103,594",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMBoroughPresidentKings
New York City,NY,2021,6/22/2021,NYC Democratic Primary for Manhattan Borough President,Mark D. Levine,N,OpenSeat,7,7,237180,237730,187378,67375,28%,1,100718,53.8%,52.1%,42.4%,57054,162604,140097,,435,1161,271,0,46732,3349,50352,2288,2347,,"756,581",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMBoroughPresidentNewYork
New York City,NY,2021,6/22/2021,NYC Democratic Primary for Mayor,Eric L. Adams,N,OpenSeat,13,13,940463,942031,801829,289403,31%,1,404513,50.4%,48.4%,42.9%,434784,817417,531875,,5901,10330,1475,0,105617,33110,140202,16787,12147,,"3,376,341",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMMayorCitywide
New York City,NY,2021,6/22/2021,NYC Democratic Primary for Public Advocate,Jumaane D. Williams,N,Incumbent,3,1,940463,818722,818722,572762,70%,1,572762,70.0%,84.5%,70.0%,261444,358779,692967,,2157,3791,0,0,0,0,0,16031,18170,,"3,376,341",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMPublicAdvocateCitywide
New York City,NY,2021,6/22/2021,NYC Democratic Primary for Queens Borough President,Donovan J. Richards Jr.,N,Incumbent,3,3,194672,195591,183375,80320,41%,1,92222,50.3%,72.4%,47.2%,76387,115699,141893,,476,864,66,0,12150,0,12216,3041,3981,,"807,187",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMBoroughPresidentQueens
New York City,NY,2021,6/22/2021,NYC Democratic Primary for Richmond Borough President,Mark S. Murphy,N,OpenSeat,5,3,28097,28432,27656,13221,47%,1,13835,50.0%,68.1%,48.7%,8375,18491,21495,,75,208,5,0,771,0,776,705,457,,"131,209",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMBoroughPresidentRichmond
New York City,NY,2021,6/22/2021,NYC Democratic Primary for The Bronx Borough President,Vanessa L. Gibson,N,OpenSeat,5,5,100881,101463,92358,40097,40%,1,49401,53.5%,60.1%,48.7%,32435,67017,72506,,757,1655,137,0,8968,0,9105,2798,3153,,"577,770",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMBoroughPresidentBronx
New York City,NY,2021,6/22/2021,NYC Republican Primary for City Council D50,David M. Carr,N,OpenSeat,5,5,8577,8577,7194,2692,31%,2,3618,50.3%,51.7%,42.2%,1798,4500,4895,,30,58,8,0,1375,0,1383,230,62,,"36,185",Y,Y,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_REPCouncilMember50thCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Republican Primary for Richmond Borough President,Vito Fossella,N,OpenSeat,4,4,19493,19644,18477,8583,44%,1,9459,51.2%,68.4%,48.2%,4999,12194,14271,,83,186,11,0,1156,0,1167,808,565,,"98,773",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_REPBoroughPresidentRichmond
New York City,NY,2021,6/22/2021,REP Council Member 15th Council District,Ariel Rivera-Diaz,N,OpenSeat,2,2,159,159,149,78,49%,1,80,53.7%,76.1%,50.3%,75,76,121,,4,4,0,0,10,0,4,12,7,,,Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_REPCouncilMember15thCouncilDistrict
New York City,NY,2021,6/22/2021,REP Council Member 19th Council District,Vickie Paladino,N,OpenSeat,2,1,3420,3420,3420,1765,52%,1,1765,51.6%,75.4%,51.6%,1614,1633,2577,,14,17,0,0,0,0,14,124,37,,,Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_REPCouncilMember19thCouncilDistrict
New York City,NY,2021,6/22/2021,REP Council Member 23rd Council District,James F. Reilly,N,OpenSeat,2,1,1564,1564,1564,1040,66%,1,1040,66.5%,81.0%,66.5%,771,778,1267,,10,10,0,0,0,0,10,37,28,,,Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_REPCouncilMember23rdCouncilDistrict
New York City,NY,2021,6/22/2021,REP Council Member 24th Council District,Timothy Rosen,N,OpenSeat,2,1,807,807,807,478,59%,1,478,59.2%,76.7%,59.2%,400,406,619,,8,9,0,0,0,0,8,24,22,,,Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_REPCouncilMember24thCouncilDistrict
New York City,NY,2021,6/22/2021,REP Council Member 32nd Council District,Joann Ariola,N,OpenSeat,2,1,2900,2900,2900,2378,82%,1,2378,82.0%,89.2%,82.0%,1141,1155,2587,,6,6,0,0,0,0,6,128,35,,,Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_REPCouncilMember32ndCouncilDistrict
New York City,NY,2021,6/22/2021,REP Mayor Citywide,Curtis A. Sliwa,N,OpenSeat,2,1,660657,60049,60049,40794,68%,1,40794,67.9%,84.7%,67.9%,29397,30506,50852,,266,326,0,0,0,0,266,3082,801,,,Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_REPMayorCitywide
Nibley,UT,2021,11/2/2021,Mayor,Larry Jacobsen,N,OpenSeat,3,2,1423,1423,1375,708,50%,1,835,60.7%,Unknown,58.7%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,48,Unknown,Unknown,,,Unknown,N,15,Grid,Oval,"ES&S DS450, ExpressVote",Link,N,Administered by Cache County,Nibley_11022021_Mayor
Portland,ME,2021,11/2/2021,City Council At-Large,Roberto Rodriguez,N,OpenSeat,4,3,21322,19188,17063,5580,29%,1,8549,50.1%,Unknown,44.6%,Unknown,Unknown,Unknown,,,,,,,,4259,,,,,Unknown,N,15,Grid,Oval,ES&S DS200/AutoMARK,Link,Y,Recount after final-round tie. This database reflects results of the recount.,Portland_11022021_CityCouncilAL
Salt Lake City,UT,2021,11/2/2021,City Council District 1 ,Victoria Petro-Eschler,N,OpenSeat,3,2,3381,3370,3302,1612,48%,1,1713,51.9%,Unknown,50.8%,Unknown,Unknown,Unknown,10,1,Unknown,0,Unknown,Unknown,Unknown,68,Unknown,Unknown,,,Unknown,N,10,Grid,Oval,Dominion Image Cast,Link,N,Administered by Salt Lake County,SaltLakeCity_11022021_CityCouncilDistrict1
Salt Lake City,UT,2021,11/2/2021,City Council District 2,Alejandro Puy,N,Challenger,5,4,2568,2549,2450,1084,43%,1,1378,56.2%,Unknown,54.1%,Unknown,Unknown,Unknown,10,9,Unknown,1,Unknown,Unknown,Unknown,99,Unknown,Unknown,,,Unknown,N,10,Grid,Oval,Dominion Image Cast,Link,N,Administered by Salt Lake County,SaltLakeCity_11022021_CityCouncilDistrict2
Salt Lake City,UT,2021,11/2/2021,City Council District 3,Chris Wharton,N,Incumbent,3,1,6072,6053,6053,3750,62%,1,3750,62.0%,Unknown,62.0%,Unknown,Unknown,Unknown,17,2,Unknown,0,0,0,0,0,Unknown,Unknown,,,Y,N,10,Grid,Oval,Dominion Image Cast,Link,N,Administered by Salt Lake County,SaltLakeCity_11022021_CityCouncilDistrict3
Salt Lake City,UT,2021,11/2/2021,City Council District 5,Darin Mano,N,Incumbent,5,2,5824,5813,5803,2902,50%,1,2907,50.1%,Unknown,50.0%,Unknown,Unknown,Unknown,12,6,Unknown,0,0,0,0,0,Unknown,Unknown,,,Unknown,N,10,Grid,Oval,Dominion Image Cast,Link,N,Administered by Salt Lake County,SaltLakeCity_11022021_CityCouncilDistrict5
Salt Lake City,UT,2021,11/2/2021,City Council District 7,Amy Fowler,N,Incumbent,3,1,5847,5829,5829,3798,65%,1,3798,65.2%,Unknown,65.2%,Unknown,Unknown,Unknown,12,6,Unknown,0,0,0,0,0,Unknown,Unknown,,,Y,N,10,Grid,Oval,Dominion Image Cast,Link,N,Administered by Salt Lake County,SaltLakeCity_11022021_CityCouncilDistrict7
Sandy,UT,2021,11/2/2021,City Council At-Large,Brooke D'Sousa,N,OpenSeat,6,5,21246,20114,17750,6378,32%,1,9224,52.0%,Unknown,45.9%,Unknown,Unknown,Unknown,1112,20,Unknown,3,Unknown,Unknown,Unknown,2358,Unknown,Unknown,,,Unknown,N,10,Grid,Oval,Dominion Image Cast,Link,N,Administered by Salt Lake County,Sandy_11022021_CityCouncilAL
Sandy,UT,2021,11/2/2021,City Council District 1 ,Ryan Mecham,N,OpenSeat,3,2,4037,3770,3547,1470,39%,1,1736,48.9%,Unknown,46.0%,Unknown,Unknown,Unknown,262,5,Unknown,0,Unknown,Unknown,Unknown,223,Unknown,Unknown,,,Unknown,N,10,Grid,Oval,Dominion Image Cast,Link,N,Administered by Salt Lake County,Sandy_11022021_CityCouncilDistrict1
Sandy,UT,2021,11/2/2021,City Council District 3,Zach Robinson,N,OpenSeat,3,1,7043,6748,6748,3557,53%,1,3557,52.7%,Unknown,52.7%,Unknown,Unknown,Unknown,293,2,Unknown,0,0,0,0,0,Unknown,Unknown,,,Y,N,10,Grid,Oval,Dominion Image Cast,Link,N,Administered by Salt Lake County,Sandy_11022021_CityCouncilDistrict3
Sandy,UT,2021,11/2/2021,Mayor,Monica Zoltanski,N,OpenSeat,8,7,21246,21165,17219,4382,21%,1,8620,50.1%,Unknown,40.7%,Unknown,Unknown,Unknown,53,28,Unknown,16,Unknown,Unknown,Unknown,3930,Unknown,Unknown,,,Unknown,N,10,Grid,Oval,Dominion Image Cast,Link,N,Database reflects the results of a machine-recount. Election administered by Salt Lake County.,Sandy_11022021_Mayor
Santa Fe,NM,2021,11/2/2021,City Councilor Position 1,SIGNE I LINDELL,N,Incumbent,4,1,6418,6174,6174,3736,61%,1,3736,60.5%,Unknown,60.5%,Unknown,Unknown,Unknown,223,21,21,0,0,0,0,0,Unknown,Unknown,,,Y,N,10,Grid,Oval,Dominion ImageCast,Link,N,,SantaFe_11022021_CityCouncil1
Santa Fe,NM,2021,11/2/2021,Mayor,Alan Webber,N,Incumbent,3,1,18389,18161,18161,9961,55%,1,9961,54.8%,Unknown,54.8%,Unknown,Unknown,Unknown,188,40,40,0,0,0,0,0,Unknown,Unknown,,,Y,N,10,Grid,Oval,Dominion ImageCast,Link,N,,SantaFe_11022021_Mayor
South Salt Lake,UT,2021,11/2/2021,Mayor,Cherie Wood,N,Incumbent,3,1,3058,3051,3051,1777,58%,1,1777,58.2%,Unknown,58.2%,Unknown,Unknown,Unknown,7,6,Unknown,0,0,0,0,0,Unknown,Unknown,,,Y,N,10,Grid,Oval,Dominion Image Cast,Link,N,Administered by Salt Lake County,SouthSaltLake_11022021_Mayor
Springville,UT,2021,11/2/2021,City Council 1st Seat (2 Year),CHRIS SORENSEN,N,Incumbent ,3,2,6307,6040,5962,2853,47%,1,3255,54.6%,90.9%,54.6%,4536,5008,5492,246,13,34,1,4,73,0,78,43,39,,,Y,N,20,Grid,Oval,ES&S,Link,Y,Administered by Utah County,Springville_11022021_CityCouncil2yr
Springville,UT,2021,11/2/2021,Mayor,MATT PACKARD,N,Incumbent ,3,1,6307,6107,6107,4670,76%,1,4670,76.5%,96.2%,76.5%,4381,4638,5873,185,8,29,0,0,0,0,0,51,35,,,Y,N,20,Grid,Oval,ES&S,Link,Y,Administered by Utah County,Springville_11022021_Mayor
St. Louis Park,MN,2021,11/2/2021,Council Member Ward 3,Sue Budd,N,OpenSeat,3,3,1359,1347,1306,581,43%,1,747,57.2%,78.2%,55.5%,696,989,1053,12,0,1,0,0,41,0,41,202,4,,,Y,N,3,Columns,Oval,ES&S DS200/DS850/AutoMARK,Link,Y,,StLouisPark_11022021_CityCouncilWard3
St. Paul,MN,2021,11/2/2021,Mayor,Melvin Carter,N,Incumbent,8,1,59103,59103,59103,36426,62%,1,36426,61.6%,Unknown,61.6%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,,"169,950",Y,N,6,Columns,Oval,Hart Verity,Link,N,,StPaul_11022021_Mayor
Vineyard,UT,2021,11/2/2021,Mayor,JULIE FULLMER,N,Challenger,3,1,1540,1534,1534,1329,87%,1,1329,86.6%,98.5%,86.6%,1152,1220,1511,3,1,4,0,0,0,0,0,27,4,,,Y,N,20,Grid,Oval,ES&S,Link,Y,Administered by Utah County,Vineyard_11022021_Mayor
Woodland Hills,UT,2021,11/2/2021,Mayor,BRENT WINDER,N,OpenSeat,3,2,658,655,598,269,41%,1,331,55.4%,85.0%,55.4%,393,527,557,3,0,1,1,5,51,0,57,8,2,,,Y,N,20,Grid,Oval,ES&S,Link,Y,Administered by Utah County,WoodlandHills_11022021_Mayor
Basalt,CO,2020,4/7/2020,Mayor,Bill Kane,N,OpenSeat,3,1,1153,1153,1153,652,57%,1,652,56.5%,Unknown,56.5%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,,,Y,N,Unknown,Unknown,Unknown,Unknown,Link,N,,Basalt_04072020_Mayor
Benton County,OR,2020,11/3/2020,County Commissioner Position 2,Xan Augerot,N,Incumbent,3,1,52954,49583,49583,29081,59%,1,29081,58.7%,Unknown,58.7%,Unknown,Unknown,Unknown,3323,48,Unknown,0,0,0,0,0,Unknown,Unknown,,,Y,N,3,Unknown,Unknown,ES&S,Link,N,,BentonCounty_11032020_CommissionerPosition2
Benton County,OR,2020,11/3/2020,County Commissioner Position 3,Nancy Wyse,N,OpenSeat,3,1,52954,49341,49341,31374,64%,1,31374,63.6%,Unknown,63.6%,Unknown,Unknown,Unknown,3546,67,Unknown,0,0,0,0,0,Unknown,Unknown,,,Y,N,3,Unknown,Unknown,ES&S,Link,N,,BentonCounty_11032020_CommissionerPosition3
Berkeley,CA,2020,11/3/2020,City Council District 2,Terry Taplin,N,Challenger,4,3,8984,8181,7641,3222,39%,1,4756,62.2%,77.7%,58.1%,3235,6504,6660,725,65,94,5,0,535,0,540,241,141,,,Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Berkeley_11032020_MemberCityCouncilDist2BerkeleyRCV_tab1
Berkeley,CA,2020,11/3/2020,City Council District 3,Ben Bartlett,N,Incumbent,3,1,8669,7696,7696,5350,70%,1,5350,69.5%,89.0%,69.5%,3162,4609,6883,923,26,44,0,0,0,0,0,183,132,,,Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Berkeley_11032020_MemberCityCouncilDist3BerkeleyRCV_tab1
Berkeley,CA,2020,11/3/2020,City Council District 5,Sophie Hahn,N,Incumbent,3,1,10970,10012,10012,7682,77%,1,7682,76.7%,89.5%,76.7%,2477,4889,9013,932,11,22,0,0,0,0,0,209,139,,,Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Berkeley_11032020_MemberCityCouncilDist5BerkeleyRCV_tab1
Berkeley,CA,2020,11/3/2020,City Council District 6,Susan Wengraf,N,Incumbent,2,1,8579,7751,7751,5631,73%,1,5631,72.6%,86.1%,72.6%,3224,3293,6704,800,6,11,0,0,0,0,0,186,83,,,Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Berkeley_11032020_MemberCityCouncilDist6BerkeleyRCV_tab1
Berkeley,CA,2020,11/3/2020,Mayor,Jesse Arreguin,N,Incumbent,4,1,64074,58281,58281,36708,63%,1,36708,63.0%,84.1%,63.0%,18070,37694,51222,5428,146,349,0,0,0,0,0,1719,1285,81.26%,"78,846",Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Berkeley_11032020_MayorBerkeleyRCV_tab1
Eastpointe,MI,2020,11/3/2020,City council special election (single seat),Sylvia Moore,N,OpenSeat,3,2,18093,13922,13176,5177,37%,1,7525,57.1%,83.9%,54.1%,9835,11015,11682,4139,20,139,32,0,391,0,746,1402,77,,"26,231",Y,N,4,Columns,Oval,DS200/DS450/AutoMARK,Link,Y,,Eastpointe_11032020_CityCouncil
Maine,ME,2020,7/14/2020,"CD2, Republican Primary",Dale Crafts,N,Challenger,3,2,58506,52561,48314,23665,45%,1,28019,58.0%,80.8%,53.3%,28287,33958,42485,5518,315,574,57,0,4190,0,4247,4096,456,,"464,085",Y,N,12,Grid,Oval,DS200/DS450/ExpressVote,Link,Y,,Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2_tab1
Maine,ME,2020,11/3/2020,President CD1,Joe Biden,N,Challenger,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,12,Grid,Oval,DS200/DS450/ExpressVote,Link,N,,Maine_11032020_PresidentCD1
Maine,ME,2020,11/3/2020,President CD2,Donald Trump,N,Incumbent,5,1,380324,376307,376307,196692,52%,1,196692,52.3%,Unknown,52.3%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,"464,085",Y,N,12,Grid,Oval,DS200/DS450/ExpressVote,Link,N,,Maine_11032020_PresidentCD2
Maine,ME,2020,11/3/2020,President Statewide,Joe Biden,N,Challenger,5,1,828305,819374,819374,435072,53%,1,435072,53.1%,Unknown,53.1%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,"983,960",Y,N,12,Grid,Oval,DS200/DS450/ExpressVote,Link,N,,Maine_11032020_PresidentStatewide
Maine,ME,2020,7/14/2020,State House District 38 Democratic Primary,Barbara Wood,N,OpenSeat,3,1,2748,2439,2439,1310,54%,1,1310,53.7%,Unknown,53.7%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,"7,518",Y,N,12,Grid,Oval,DS200/DS450/ExpressVote,Link,N,,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict38
Maine,ME,2020,7/14/2020,State House District 41 Democratic Primary,Samuel Lewis Zager,N,OpenSeat,3,2,2638,2519,2464,1239,49%,1,1397,56.7%,90.9%,55.5%,1818,2134,2289,114,4,10,0,0,55,0,55,12,7,,"6,739",Y,N,12,Grid,Oval,DS200/DS450/ExpressVote,Link,Y,,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41_tab1
Maine,ME,2020,7/14/2020,State House District 47 Democratic Primary,Arthur L. Bell,N,OpenSeat,3,2,2624,2493,2413,978,39%,1,1274,52.8%,88.2%,51.1%,1833,2073,2199,125,5,20,2,0,78,0,80,28,8,,"7,911",Y,N,12,Grid,Oval,DS200/DS450/ExpressVote,Link,Y,,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47_tab1
Maine,ME,2020,7/14/2020,State House District 49 Democratic Primary,Poppy Arford,N,OpenSeat,3,2,2358,2169,2075,899,41%,1,1189,57.3%,86.4%,54.8%,1493,1761,1875,185,3,5,1,0,93,0,94,23,4,,"7,966",Y,N,12,Grid,Oval,DS200/DS450/ExpressVote,Link,Y,,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49_tab1
Maine,ME,2020,7/14/2020,State House District 90 Democratic Primary,Lydia V. Crafts,N,OpenSeat,3,2,2083,2024,1981,1010,50%,1,1143,57.7%,87.6%,56.5%,1441,1671,1773,53,5,12,3,0,40,0,43,22,9,,"7,197",Y,N,12,Grid,Oval,DS200/DS450/ExpressVote,Link,Y,,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90_tab1
