"country","countryname","edate","party","partyname","day","month","year","econlr","econlr.se","econlr.lwr","econlr.upr","authlib","authlib.se","authlib.lwr","authlib.upr","tradmod","tradmod.se","tradmod.lwr","tradmod.upr"
73,"Sri Lanka",1965-03-01,73310,"SLFP Freedom Party",1,3,1965,-0.399642965573006,0.0949836118141965,-1.02037651961754,0.191021880043257,-1.15824893429789,0.128412048849664,-1.87640748945031,-0.476461505029162,0.338948069521242,0.128431867842506,-0.367942113262107,1.02046422880527
73,"Sri Lanka",1970-05-01,73310,"SLFP Freedom Party",1,5,1970,-0.309634688049165,0.0238708100282879,-0.632758426129205,-0.0146198272045446,-0.995894724025434,0.0607441557083743,-1.52519418207195,-0.53623123993841,0.242863001975863,0.0798072536172613,-0.327710047026273,0.793851357845623
73,"Sri Lanka",1977-07-01,73310,"SLFP Freedom Party",1,7,1977,-0.675357980204221,0.0231224583804136,-0.985461444222384,-0.396379527650564,-0.743350370081406,0.0372467918981721,-1.14724412915312,-0.379717834981321,0.191728846588284,0.0613144124507653,-0.313500299672258,0.676520514407991
73,"Sri Lanka",1947-01-01,73330,"UNP United National Party",1,1,1947,-0.522130776135884,0.0654320828356295,-1.05259936224168,-0.0410903698582768,-1.03797992794312,0.116758784210285,-1.74705854617827,-0.396391178727633,0.527167965593504,0.133892252862005,-0.207319710406521,1.23917277149722
73,"Sri Lanka",1952-01-01,73330,"UNP United National Party",1,1,1952,0.17976997043435,0.2187541387687,-0.741266093360449,1.08532661410893,0.725347032905965,0.0458296329234919,0.313957305861065,1.16891804468733,0.625355349101498,0.0682034750964267,0.105731877728675,1.11444462092076
73,"Sri Lanka",1956-04-01,73330,"UNP United National Party",1,4,1956,0.91179942691512,0.0762410317883897,0.382863066257397,1.4476883405996,0.241651383450029,0.137177596927118,-0.495288641213415,0.963571724475517,0.151100721476529,0.157860832940413,-0.631970411132215,0.927187649935421
73,"Sri Lanka",1960-07-01,73330,"UNP United National Party",1,7,1960,0.464826622540455,0.100923587489104,-0.128445269461299,1.10325993619399,-0.161860887586642,0.100465425824056,-0.768945021113511,0.434978915064243,-0.021836314155819,0.148221525775389,-0.774984554995286,0.731187354456942
73,"Sri Lanka",1965-03-01,73330,"UNP United National Party",1,3,1965,0.973112018638565,0.112771171337613,0.309284416029163,1.65796905898138,0.468556756380106,0.0544129502553486,0.0410121572494654,0.973941730398817,0.133680424023272,0.102317148492074,-0.484051571194425,0.760405106466213
73,"Sri Lanka",1970-05-01,73330,"UNP United National Party",1,5,1970,0.562795372945816,0.0414692976644542,0.159568850930378,0.966517719591123,-1.34702599876739,0.0855302027927399,-1.94320177267516,-0.820956159461247,-0.0984063607362758,0.0883595515735502,-0.682949157457764,0.498710499024867
73,"Sri Lanka",1977-07-01,73330,"UNP United National Party",1,7,1977,0.817768190505728,0.0730787276470661,0.314098671375799,1.37492323709405,-0.807685342292861,0.038346429157232,-1.19902678533881,-0.442813445463418,0.525719063750998,0.0553838506182428,0.0655116253454298,0.965153486566686
74,"Turkey",1950-05-14,74321,"CHP Republican People's Party",14,5,1950,0.923042977305017,0.0712778075415959,0.424613114834769,1.50101363164443,-1.17793162993746,0.156515758290607,-1.98299287222527,-0.457962167593581,-0.96697275319327,0.0968193906761733,-1.56248390481157,-0.327534451639421
74,"Turkey",1954-05-02,74321,"CHP Republican People's Party",2,5,1954,1.2921177785765,0.0842351425588346,0.748456053330789,1.87794581460132,-1.98548026880139,0.167701048531801,-2.82771575980755,-1.2507957344786,-0.395513048248628,0.115724082804175,-1.0287350421268,0.293455405022598
74,"Turkey",1957-10-27,74321,"CHP Republican People's Party",27,10,1957,0.724634643982807,0.0434111077903099,0.324775277733298,1.12461412875536,-2.1856566368813,0.130130580893943,-2.92478096321441,-1.53411740934402,0.339926294112515,0.075422209863206,-0.189344951574041,0.879583483382074
74,"Turkey",1961-10-15,74321,"CHP Republican People's Party",15,10,1961,0.495460643199046,0.0230861505398333,0.198080612720894,0.78529018027838,-1.30420639511536,0.0938825584268842,-1.98273346907514,-0.739081954054529,-0.673042189956035,0.0687334412097105,-1.14419823767896,-0.149908728059738
74,"Turkey",1965-10-10,74321,"CHP Republican People's Party",10,10,1965,-0.312906230501689,0.00910488274514255,-0.505028921498736,-0.130174861321076,0.0230441976129678,0.0407624211703532,-0.355540048390373,0.432235614474566,-1.05529827907674,0.0256550269079747,-1.35463647504826,-0.732658154763575
74,"Turkey",1969-10-12,74321,"CHP Republican People's Party",12,10,1969,-0.288680422461721,0.00636950215002592,-0.445176916547429,-0.12838980578778,-0.106159842238861,0.0234002304049114,-0.413434234466467,0.205992596294893,-0.950011736366017,0.019130424626093,-1.21170626078781,-0.67903733732763
74,"Turkey",1973-10-14,74321,"CHP Republican People's Party",14,10,1973,-0.31034580949108,0.0376174225227908,-0.700814036261696,0.0673953114588362,-0.969638037891986,0.049566032533676,-1.41445644756251,-0.548641281630475,-1.19275567316062,0.0212203624817458,-1.4783740858972,-0.900724443980502
74,"Turkey",1977-06-05,74321,"CHP Republican People's Party",5,6,1977,-0.705226360837597,0.00564672470965887,-0.854664060851966,-0.565684992557708,-1.00699475016064,0.00554189773987338,-1.15721101608616,-0.863732414781419,-0.43021520750427,0.00740157556931059,-0.593552847866138,-0.257729679984389
74,"Turkey",1995-12-24,74321,"CHP Republican People's Party",24,12,1995,-0.123264963222377,0.0464384284747,-0.556763409589907,0.294713066074328,-0.783344977741821,0.032872138244504,-1.1560158390511,-0.444220677166617,-0.0682075483228352,0.0495121499831792,-0.50080677175226,0.392627660450297
74,"Turkey",1999-04-18,74321,"CHP Republican People's Party",18,4,1999,0.0410381480804389,0.0204211957468971,-0.234664727971193,0.315669356742123,-0.1266678594402,0.0182265105252244,-0.40344217129665,0.129805306300009,-0.874220819597066,0.0161711624164695,-1.102171665878,-0.617440235233696
74,"Turkey",2002-11-03,74321,"CHP Republican People's Party",3,11,2002,0.0633582917295194,0.0227906490444657,-0.233065523208937,0.357435581365722,-0.0980150526043783,0.0182247235415567,-0.36764995536072,0.145512961140328,-0.893201887324895,0.0155650108722127,-1.12675011547124,-0.640561908624497
74,"Turkey",1983-11-06,74322,"HP Populist Party",6,11,1983,-0.126917209920309,0.0302046654646481,-0.46975465146287,0.224645161866517,0.686245158814506,0.210907779936264,-0.168837860688132,1.65644036176633,1.47317851089101,0.163525010832739,0.629066479665745,2.28889677987064
74,"Turkey",1987-11-29,74323,"SHP Social Democratic Populist Party",29,11,1987,-0.672960902069527,0.0308437251017224,-1.02813033153529,-0.336942483305768,-1.51400172263149,0.0829970851423069,-2.12732101756579,-0.984132368968713,-1.25000566893213,0.0265131808186634,-1.58031418789261,-0.932046679015463
74,"Turkey",1991-10-20,74323,"SHP Social Democratic Populist Party",20,10,1991,-0.2833131466638,0.0566777644551679,-0.781135048084282,0.166314297712664,-0.557659500510416,0.036272372787591,-0.935701227866778,-0.196999064835815,-0.427321535708182,0.0545381030087904,-0.853960444402939,0.0596960138495155
74,"Turkey",1991-10-20,74324,"DSP Democratic Left Party",20,10,1991,0.392409069544326,0.0129069439842111,0.172714554376647,0.615096618440665,-0.295439733984104,0.0123571960029676,-0.522044157009069,-0.0862898809468926,-0.317286146424918,0.0263930728729121,-0.629537800163997,0.0108914206114318
74,"Turkey",1995-12-24,74324,"DSP Democratic Left Party",24,12,1995,1.69022417689196,0.0629870660738421,1.18784977896433,2.17383722507683,-0.359799817436693,0.0405207415055696,-0.75348740914683,0.0249696883787684,-0.0099868169847405,0.0729132876060345,-0.546783583660156,0.532546217229358
